,university 1,university 2,cosine distance,jaccard distance
182, Royal academy of art The Hague, rug ,0.8714815424093596,0.9551049963794351
183,Wittenborg, rug ,0.858690394023261,0.9534368070953437
184, Royal Conservatoire The Hague, rug ,0.8925106441438917,0.9804075235109718
185,codarts, rug ,0.8894835099777606,0.9671641791044776
186,Webster, rug ,0.8683405063513892,0.9609022556390977
187,amsterdamuas, rug ,0.7823604939735218,0.8919262555626192
188, EUR , Maastricht University ,0.7872235496647395,0.891044776119403
189, Leiden University , Maastricht University ,0.8033045255431916,0.9253935660506503
190, WUR , Maastricht University ,0.8430555823919161,0.9306569343065694
191, rug , Maastricht University ,0.8304556465110047,0.9348137535816619
192, Maastricht University , Maastricht University ,0.0,0.0
193, Vrije Universiteit Amsterdam , Maastricht University ,0.7210437419836886,0.8544117647058823
194, TU Eindhoven , Maastricht University ,0.8813134756803529,0.96
195, University of Twente , Maastricht University ,0.7739852638953723,0.8970588235294118
196, Tilburg University , Maastricht University ,0.7433369116935491,0.8858800773694391
197, Open University , Maastricht University ,0.8033727782022511,0.896551724137931
198, HAN , Maastricht University ,0.8785099784858406,0.9511278195488722
199,ZUYD, Maastricht University ,0.8271725811038013,0.9143258426966292
200,AUAS , Maastricht University ,0.7839160690354295,0.8817829457364341
201, international HU , Maastricht University ,0.8313778672147893,0.9090909090909091
202,tinbergen, Maastricht University ,0.8597154067498933,0.9263456090651558
203,artez, Maastricht University ,0.8882197674588349,0.9410526315789474
204,Viaa, Maastricht University ,0.9481611240205295,0.9753846153846154
205,marnix, Maastricht University ,0.8297219144167084,0.9090909090909091
206,hku, Maastricht University ,0.8574841954570254,0.924953095684803
207, Amsterdam University College, Maastricht University ,0.8110310744470848,0.8962765957446809
208,avans, Maastricht University ,0.8081494385775546,0.9181818181818182
209, UVH , Maastricht University ,0.8145462217341639,0.9300746775288526
210,vlhuas , Maastricht University ,0.926165307875036,0.9623655913978495
211,Windesheim, Maastricht University ,0.871782358162392,0.9329608938547486
212,AHK , Maastricht University ,0.8367842479929113,0.9173047473200613
213, TIAS , Maastricht University ,0.8131427970233404,0.9194756554307116
214,BUAS , Maastricht University ,0.8433307221569426,0.9182608695652174
215,TU Delft, Maastricht University ,0.8770902368945608,0.9442508710801394
216, HZ , Maastricht University ,0.8270213442897504,0.9148351648351648
217, tio , Maastricht University ,0.8555795229552214,0.9221698113207547
218, hogeschool Leiden , Maastricht University ,0.8552218984447015,0.951417004048583
219, rotterdam uas , Maastricht University ,0.8027729360043183,0.9064748201438849
220,Fontys, Maastricht University ,0.8655674466034258,0.9285714285714286
221,Aeres, Maastricht University ,0.8504368859506358,0.9192825112107623
222,Saxion, Maastricht University ,0.7878559953755069,0.8909090909090909
223,NHL Stendedn, Maastricht University ,0.8082367198955582,0.9340296866410116
224, Universiteit Utrecht , Maastricht University ,0.8908987399635501,0.9532374100719424
225,The Hague, Maastricht University ,0.9328828519634453,0.9654320987654321
226, HAS, Maastricht University ,0.8685054676017387,0.9298245614035088
227, Hotelschool The Hague, Maastricht University ,0.8447815825525452,0.9164926931106472
228, Design academy Eindhoven , Maastricht University ,0.8451962098614474,0.918625678119349
229, Royal academy of art The Hague, Maastricht University ,0.8688222556463401,0.9302325581395349
230,Wittenborg, Maastricht University ,0.9158849518222627,0.9568733153638814
231, Royal Conservatoire The Hague, Maastricht University ,0.8790713298176873,0.9538461538461538
232,codarts, Maastricht University ,0.9116944000817713,0.9558823529411765
233,Webster, Maastricht University ,0.8694448232483882,0.9335347432024169
234,amsterdamuas, Maastricht University ,0.8379663745337116,0.9181818181818182
235, EUR , Vrije Universiteit Amsterdam ,0.6708641837056628,0.8031496062992126
236, Leiden University , Vrije Universiteit Amsterdam ,0.68095287963603,0.8305504019789733
237, WUR , Vrije Universiteit Amsterdam ,0.8187793910977311,0.9413793103448276
238, rug , Vrije Universiteit Amsterdam ,0.7162797475088317,0.8498727735368956
239, Maastricht University , Vrije Universiteit Amsterdam ,0.7210437419836886,0.8544117647058823
240, Vrije Universiteit Amsterdam , Vrije Universiteit Amsterdam ,0.0,0.0
241, TU Eindhoven , Vrije Universiteit Amsterdam ,0.8698072712185277,0.9698581560283688
242, University of Twente , Vrije Universiteit Amsterdam ,0.6279621847498801,0.7769848349687779
243, Tilburg University , Vrije Universiteit Amsterdam ,0.6392960252072329,0.7886513157894737
244, Open University , Vrije Universiteit Amsterdam ,0.7462476721240985,0.8912685337726524
245, HAN , Vrije Universiteit Amsterdam ,0.8251234201448971,0.9492119089316988
246,ZUYD, Vrije Universiteit Amsterdam ,0.7550237379174113,0.8604166666666666
247,AUAS , Vrije Universiteit Amsterdam ,0.7074237946352036,0.8337662337662337
248, international HU , Vrije Universiteit Amsterdam ,0.7557920294398209,0.8671052631578947
